date,key,new_hospitalized,total_hospitalized,new_intensive_care,total_intensive_care,new_ventilator,total_ventilator
2020-05-23 00:00:00,CH_BE,0,20,0,3,0,3
2020-04-12 00:00:00,CH_BL,-2,48,1,17,-1,14
2020-10-28 00:00:00,CH_TI,15,105,2,8,1,4
2020-10-07 00:00:00,US_UT,55,4113,4,941,1,371
2021-01-29 00:00:00,CH_BE,-17,118,-2,24,-2,20
2020-10-26 00:00:00,CH_VS,19,171,1,12,2,4
2020-06-29 00:00:00,CH_GE,2,7,-1,1,0,1
2020-06-26 00:00:00,US_KS,46,1128,8,356,2,152
2020-08-21 00:00:00,CH_VS,0,15,0,1,0,1
2020-05-27 00:00:00,US_AL,48,1719,9,560,7,334
2020-08-19 00:00:00,CH_BL,-1,1,0,1,1,1
2020-07-10 00:00:00,CH_TI,1,3,0,0,0,0
2020-11-26 00:00:00,CH_BE,-21,334,-10,57,-6,44
2020-12-22 00:00:00,CH_VS,-8,78,-3,15,-4,11
2020-12-02 00:00:00,CH_BL,-1,61,0,8,0,4
2021-01-28 00:00:00,CH_BL,-4,20,1,7,1,6
2020-04-09 00:00:00,CH_BL,-3,62,0,18,-1,16
2021-01-20 00:00:00,US_KS,123,7930,43,2141,0,413
2020-05-12 00:00:00,CH_VS,-4,34,-2,8,0,7
2020-12-13 00:00:00,US_AL,0,28146,1,2357,1,1351
2020-04-07 00:00:00,CH_NE,5,64,0,10,-3,5
2020-06-25 00:00:00,US_AL,45,2612,12,761,6,447
2020-08-28 00:00:00,CH_BL,0,3,0,1,0,1
2020-05-09 00:00:00,CH_LU,0,14,0,,0,6
2021-02-07 00:00:00,CH_GR,3,23,0,5,0,5
2020-12-16 00:00:00,CH_BL,-4,59,-1,3,-1,2
2020-08-11 00:00:00,CH_GR,0,0,0,0,0,0
2020-07-21 00:00:00,US_AR,55,2257,0,,7,316
2020-07-05 00:00:00,CH_ZH,2,11,1,1,1,1
2020-09-30 00:00:00,CH_NE,1,2,0,0,0,0
2020-06-06 00:00:00,CH_TI,-2,15,0,1,-1,0
2020-10-18 00:00:00,US_UT,46,4656,6,1022,0,401
2021-01-19 00:00:00,CH_BE,1,209,-2,40,-3,31
2021-01-09 00:00:00,US_AR,119,12087,0,,7,1289
2020-11-06 00:00:00,CH_GR,2,47,0,10,0,8
2020-06-09 00:00:00,CH_LU,0,6,0,,0,3
2020-04-27 00:00:00,CH_BL,-4,17,1,1,0,0
2020-09-10 00:00:00,CH_BL,0,0,0,0,0,0
2020-11-23 00:00:00,CH_BE,-13,377,-1,66,-1,55
2020-11-06 00:00:00,US_UT,92,5922,14,1216,0,465
2020-04-02 00:00:00,CH_VS,0,147,2,28,-1,24
2020-08-15 00:00:00,CH_GR,0,0,0,0,0,0
2020-07-08 00:00:00,CH_TI,1,1,0,0,0,0
2021-01-23 00:00:00,US_AR,120,13250,0,,7,1390
2020-06-06 00:00:00,CH_BL,0,0,0,0,0,0
2021-01-15 00:00:00,CH_NE,-7,31,-2,7,1,4
2020-10-28 00:00:00,CH_SG,4,133,0,16,-2,11
2020-05-30 00:00:00,CH_BL,0,0,0,0,0,0
2020-05-25 00:00:00,CH_TI,-1,49,0,4,0,4
2020-11-17 00:00:00,CH_LU,13,82,0,,-1,16
2020-09-27 00:00:00,US_AR,33,5235,0,,4,661
2020-12-21 00:00:00,CH_TI,2,349,-2,41,-1,37
2020-05-09 00:00:00,CH_NE,1,17,0,2,-1,1
2021-01-07 00:00:00,CH_TI,-4,367,4,51,2,47
2020-08-31 00:00:00,CH_NE,0,1,0,0,0,0
2020-08-13 00:00:00,US_UT,25,2721,4,694,2,281
2020-12-11 00:00:00,CH_NE,-1,96,4,10,0,4
2020-10-21 00:00:00,CH_GR,1,9,0,1,0,1
2020-07-10 00:00:00,CH_BE,3,5,0,1,0,1
2021-01-10 00:00:00,CH_GR,1,44,1,6,1,6
2020-06-13 00:00:00,US_KS,0,973,0,324,0,143
2020-06-06 00:00:00,CH_BE,0,5,0,0,0,0
2020-03-09 00:00:00,CH_VS,1,17,0,1,0,1
2020-06-02 00:00:00,CH_VS,0,15,0,3,0,2
2020-04-27 00:00:00,CH_GR,1,29,0,8,0,8
2020-11-25 00:00:00,US_KS,144,4921,22,1316,8,385
2020-07-20 00:00:00,CH_LU,0,7,0,4,0,4
2020-12-23 00:00:00,CH_ZH,-10,498,3,104,1,73
2020-06-09 00:00:00,US_UT,13,931,4,274,4,116
2020-08-11 00:00:00,US_AL,0,12070,21,1270,11,691
2020-05-29 00:00:00,CH_BL,0,0,0,0,0,0
2020-05-29 00:00:00,US_KS,20,842,9,284,2,124
2020-09-23 00:00:00,US_UT,34,3584,7,876,2,354
2020-03-23 00:00:00,CH_BL,11,51,3,10,3,10
2020-12-06 00:00:00,US_UT,57,8822,4,1548,1,558
2020-12-17 00:00:00,US_AL,0,29559,3,2383,5,1369
2020-04-04 00:00:00,CH_NE,-2,59,-1,10,0,9
2020-04-27 00:00:00,US_AR,0,291,0,,0,57
2020-06-29 00:00:00,CH_TI,0,4,0,0,0,0
2020-04-22 00:00:00,CH_TI,-23,213,-12,42,-4,32
2020-07-06 00:00:00,CH_ZH,1,12,1,2,1,2
2020-04-13 00:00:00,CH_LU,3,23,0,5,0,5
2021-01-18 00:00:00,CH_NE,-5,29,-1,7,0,3
2020-04-26 00:00:00,CH_BE,-7,54,-2,9,-1,9
2020-12-06 00:00:00,CH_VS,1,133,1,24,-1,17
2020-05-13 00:00:00,CH_AG,-1,8,-1,1,-1,1
2020-12-17 00:00:00,CH_NE,-15,56,-4,3,-1,3
2020-03-10 00:00:00,CH_GE,5,18,1,4,0,1
2020-11-18 00:00:00,US_KS,130,4561,36,1241,9,364
2020-12-30 00:00:00,CH_VS,6,72,-1,11,-1,8
2020-07-27 00:00:00,CH_BL,1,2,0,0,0,0
2020-06-01 00:00:00,US_KS,0,842,0,284,0,124
2020-06-06 00:00:00,US_AR,46,838,0,,4,142
2020-07-15 00:00:00,CH_ZH,0,24,-1,9,0,6
2021-01-08 00:00:00,CH_BL,-5,64,0,9,0,6
2020-09-06 00:00:00,US_KS,0,2415,0,661,0,211
2020-10-24 00:00:00,US_AL,0,19595,20,2021,9,1157
2020-04-13 00:00:00,CH_VS,-4,107,-1,21,-2,12
2020-02-28 00:00:00,CH_GR,0,0,0,0,0,0
2020-10-07 00:00:00,CH_LU,-1,5,0,1,0,1
2020-06-22 00:00:00,CH_NE,0,2,0,0,0,0
2020-06-17 00:00:00,CH_TI,0,6,0,0,0,0
2020-11-02 00:00:00,CH_BL,-1,33,0,5,0,4
2020-06-27 00:00:00,CH_BE,0,1,0,0,0,0
2020-05-22 00:00:00,CH_VS,-1,19,-1,5,-1,2
2020-12-13 00:00:00,US_AR,16,9927,0,,0,1091
2020-09-15 00:00:00,US_AL,0,15756,11,1622,6,898
2020-11-04 00:00:00,US_AL,126,21027,8,2089,4,1207
2020-03-14 00:00:00,CH_BL,-4,8,-1,2,-1,2
2020-06-28 00:00:00,US_AL,6,2703,1,790,1,454
2021-01-31 00:00:00,US_KS,0,8417,0,2290,0,412
2020-07-24 00:00:00,CH_GR,0,2,0,0,0,0
2020-03-25 00:00:00,CH_VS,1,119,2,15,2,14
2020-09-21 00:00:00,CH_BE,7,17,2,5,1,2
2020-03-28 00:00:00,CH_BL,-4,75,3,14,2,13
2020-02-29 00:00:00,CH_VS,0,6,0,0,0,0
2020-09-02 00:00:00,CH_BL,0,1,0,0,0,0
2020-04-08 00:00:00,CH_LU,1,28,0,,0,6
2020-11-09 00:00:00,US_AL,0,21294,1,2122,1,1226
2020-08-19 00:00:00,CH_BE,0,7,0,1,-1,0
2020-06-06 00:00:00,CH_GR,0,2,0,1,0,1
2021-01-26 00:00:00,US_AR,89,13401,0,,13,1408
2020-11-26 00:00:00,CH_ZH,8,397,5,73,-1,49
2020-05-15 00:00:00,CH_GR,-2,9,-1,4,-1,4
2020-08-28 00:00:00,CH_BE,0,4,0,1,0,1
2020-08-16 00:00:00,US_UT,11,2771,0,707,1,287
2020-10-06 00:00:00,CH_NE,5,6,0,0,0,0
2020-11-26 00:00:00,CH_LU,-2,104,0,,-1,13
2020-11-23 00:00:00,CH_GR,3,54,-2,8,-2,7
